firstName,lastName,linkedinUrl,company
"Allen","Naliath","https://www.linkedin.com/in/allennaliath?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC50AtUBbXQ_c-nsIT5tpHAs2KXhAVsqxCI","Friday (YC F24)"
"Oliver","W.","https://www.linkedin.com/in/oliverbraly?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACUM3GoByNPLN73nxtGP1KB0xzpvwDSy4ic","fixa (YC F24)"
"Shardool","Patel","https://www.linkedin.com/in/sp97?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACb_pi4B0vb_SfU2n26vbs0YXazzWuc9Qfw","Ex-Palantir"
"Stephen","Grinich","https://www.linkedin.com/in/stephengrinich?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABBm43UBNmNiY05LFiqjodGAMWijawh36H4","HealthSpark (YC F24)"
"Bella","Wu","https://www.linkedin.com/in/bellacwu?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAZXg2cBi_mGEcKhwlOxtqThM5X_PNqSLLA","Dexter (YC F24)"
"Alexandre","Berkovic","https://www.linkedin.com/in/alexandreberkovic?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACVuunkBwrx0wVHZf5OJhAdgVH85k4GiBmk","Sphinx (YC F24)"
"Nithin","Parsan","https://www.linkedin.com/in/nithin-parsan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACIjIw4B7jdSdpfhzpjAMfpXiyvNPoqo3Vc","MIT CS + Biology"
"Elie","Dufeu Goldenberg","https://www.linkedin.com/in/elie-dufeu-goldenberg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACUh9sYB0d2nUTK7o-LqTmNn03LPYnJ45Ro","Metreecs (YC F24)"
"Thomas","Blake","https://www.linkedin.com/in/thomas-blake-abbba0151?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACSpRC8B2YVZEE6K81S5tC8BaE2OHiz3vQQ","Astrix Health"
"Chris","Pisarski","https://www.linkedin.com/in/chris-pisarski?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAeoARABWDyz1EU75HBBvc_rK3ACMCPCkVc","Crustdata (YC F24)"
"John","Yang","https://www.linkedin.com/in/johnyang101?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACuB4yIBQMsyEGuAQoEzjoSZnPy34ZNwGVA","MIT Alum"
"Simranjit","Singh","https://www.linkedin.com/in/simranjit2112?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABNSrUMBqA76h1Uhu7DDHepFpnnlpZru7p0",""
"Tarush","Agarwal","https://www.linkedin.com/in/tarush-agarwal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACaRggABPulIDOP3cE9rzc36KLK3g1KZ8ok","IITB CS"
"Akhil","Gupta","https://www.linkedin.com/in/akhil-climate?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACiYIxUBG86RaXsHwXyn0cgJ6ZyT3kYhhlk","Fresco (YC F24)"
"Rohan","Parikh, CFA","https://www.linkedin.com/in/parikhrohan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAUmhC8BzHUqVODJJwh4Teqr3Jd7GywyQ6Y","Keye (YC F24)"
"Glenn","E.","https://www.linkedin.com/in/glennespinosa?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAATKCjgBOa8HqHuIZdPIlD04EVYvA2LKgq4","Luthor (YC F24)"
"Bowen","Liu","https://www.linkedin.com/in/bowen-liu?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACUm6AsBwI0ix7Bs1pSCd1Daxhx07LvXk5U","RevisionDojo (YC F24)"
"Kesav","Kosana","https://www.linkedin.com/in/kesavkosana?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACn6mmEBvdI7CqnNcr4ML2BK2RWE4fuJO5E","BookMyFlight (YC F24)"
"Murtaza","Ali","https://www.linkedin.com/in/-murtazaali?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAaRgdQBPnwhF7PCgiElWMQ87iKQcwYxV7U","Symphony (YC F24)"
"Tyler","Rich","https://www.linkedin.com/in/tylerrich?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABBRgPgBHezbffJ2uIGGCUxbEqtghtgRnvI","Moonset Health (YC F24)"
"Nalin","Semwal","https://www.linkedin.com/in/nsemwal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADzfX9MBY3fFJSaWOXHRU1xaTSmbWdhYGZ4","Capy"
"Dexter","Horthy","https://www.linkedin.com/in/dexterihorthy?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA4oHTkByAiD-wZjnGsMBUL_JT6nyyhOh30","more reliable AI agents"
"Anirudh","Ramprasad","https://www.linkedin.com/in/anirudh-ramprasad-7aa7b8215?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADZm2XIB-WFsO9UrDRZH-LNIlKArWQaCvIE",""
"Anthony","H.","https://www.linkedin.com/in/ahumay?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAsEqssBrnDbVPU14bdazB2QjXz9uJPmoDg","Meta"
"Manmohit","Grewal","https://www.linkedin.com/in/manmohitgrewal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACFZ9YkBI-6eHJOx8a-KRhQmEZIKPAZdsLg","Crustdata (YC F24)"
"Gavin","Saldanha","https://www.linkedin.com/in/gavin-v-saldanha?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABAsp9IB1RTNMRFHwh95Sdbbu-poL1Afw0o","Lightscreen AI"
