firstName,lastName,linkedinUrl,company
"Skyler","Ji","https://www.linkedin.com/in/skyler-ji?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADMiezMBN-RGOpfpkAS-OEyczNUD6qT17tU","Human Behavior (YC x25)"
"Priyanka","S.","https://www.linkedin.com/in/priyanka-shrestha-?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADI1_Y4B2Q_8sBp3_K4m8TI7jSTrLkaP8sg","Galen AI (YC X25)"
"Kevin","Z.","https://www.linkedin.com/in/kevindzhang?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABjvg_gBcLvqiOjglqbwcquNV9uE1f_leCM","Cohesive AI (YC X25)"
"Nikhil","Tiwari","https://www.linkedin.com/in/nikhiltiwari-iitb?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADLJTgcBL5fOIH-LuDErLaAWMHr5TCFHgYI","Frekil (YC X25)"
"Chloe","Samaha","https://www.linkedin.com/in/chloesamaha?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADD8ZK4B5UaEmqSDRXTD-3N5ADO1c4z31dI","BOND (YC X25)"
"Krishang","Todi","https://www.linkedin.com/in/krishang-todi-a6525b135?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACD2jS0BUDhIupOu6AlrmCWmPoXtbBY_pm8","Aegis (YC X25)"
"amogh","chaturvedi","https://www.linkedin.com/in/amoghchaturvedi1?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADvgSY0BS0vsNMPUJImqnTAnL9OPnGA_IuM","human behavior (yc x25) // prev stanford"
"Amir","Farahani","https://www.linkedin.com/in/theamirfarahani?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADaHMHMBjcGiBdeLHAMBqqatO1aJPwWBluU","Caucus (YC X25)"
"Alex","Liu","https://www.linkedin.com/in/alexyliuswe?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACPMOJwBHmhDcXJ1Nxg4F8-kV2HlIJMKKmM","Prism AI (YC X25)"
"Bryan","Guin","https://www.linkedin.com/in/bryan-guin?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACEGOjcBYunNsGuRE5PfIvgPuDvHvogl5uo","Avallon AI (YC X25)"
"Rayan","Garg","https://www.linkedin.com/in/rayan-garg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACsX-KcB8YrAmdwi4Czmue1OEiG1W0MXqD8",""
