firstName,lastName,linkedinUrl,company
"Porsev","Aslan","https://www.linkedin.com/in/porsev-aslan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC1C5PgBNJE1WLMLIygysuDyjnpwNpYXErw","Openroll (YC F25)"
"Rishabh","Dhariwal","https://www.linkedin.com/in/rishabh-dhariwal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC2gTnYBsxfcHGkRufUjSbS45YeDGLwjyHg","Zarna (YC F25)"
"Anirudh","Pupneja","https://www.linkedin.com/in/anirudh-pupneja?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACD8TKcBcuvWhdRUrX2_G3d4gXT_bo4Qwao","Ex Coinbase, D.E. Shaw"
"Aayush","Naik","https://www.linkedin.com/in/aayn?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABr_CLMB3H8ytcI655eiMnnAw1gx4NrEnzo","Hypercubic (YC F25)"
"Gautam","Paranjape","https://www.linkedin.com/in/gparanjape?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADGLL2wBtGppX8AbX93bxpK_PT1P_NGlhIY","Mantle (YC F25)"
"Janak","Sunil","https://www.linkedin.com/in/janaksunil?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC2qPcQBGNQ105pFnGZYG76OTk7MYcOCVcw","Bear (YC F25)"
"Swarakesh","Mishra","https://www.linkedin.com/in/swarakesh-mishra?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADDJ9XcBmSI1BSxPzDrJC0FcnpfEiZeilTs","Ex - Probo, FrontRow"
"Saad","Jamal","https://www.linkedin.com/in/sadjamz?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACh8ctwBNVCbQe17I25QNr1m6QPQUzs4eEs","claybird.com (yc f25)"
"Ludovic","Granger","https://www.linkedin.com/in/ludovic-granger?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABpjW_MBpMbu2lwUa38z-iFByXCT3CvxuQM","Leadbay - We discover & qualify companies others can’t find."
"Yolanda","Cao","https://www.linkedin.com/in/yolandacao1?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACIkiuoBzwPV4YE_7IC-ksAF5f2ZXLHTauc","Everest (YC)"
"Sai","Mandhan","https://www.linkedin.com/in/saimandhan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADkew1IBQIVaPCIz3s_1d51bimDFxeaZAS0","Remedy (YC F25)"
