firstName,lastName,linkedinUrl,company,ycBatch
Yurii,Rebryk,https://www.linkedin.com/in/yrebryk?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABd_378Bk6OnwD-Jsf7G9wUifNdpaWsqbXs,GetFluently.app 👉 Improve English with AI,YC W24
Martin,Hunt,https://www.linkedin.com/in/martin-hunt-a3392999?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABT14IcBVaL46ZkOdef5_TqKHdqaTBxz8us,Garage,YC W24
Adrian,Ziegler,https://www.linkedin.com/in/adrian-ziegler?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB_0iiUBj91i1doJFZf9KkK7lC5PeIaHP54,CloudCruise (YC W24),YC W24
TJ,Murphy,https://www.linkedin.com/in/tjmurphy?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAACmVkUBjqiiB7RXZKLFXryjYwwLWoLEMxA,,YC W24
Grant,Margerum,https://www.linkedin.com/in/grantmargerum?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABVC-k4Bt2a-kIIVKI_OyOi6I3Lx_uQFlnU,crmCopilot (YC W24),YC W24
Max,Ahrens,https://www.linkedin.com/in/maximilianahrens?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAshKrYBa8LEhcc-DvaU6PqFDRiwuTHmzE4,Maihem (YC W24),YC W24
Sherry,Liu,https://www.linkedin.com/in/sherryliu987?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACQm5o4ByMrabmpC5UWpQftaJ_Ia6mtd7YY,Tamarind Bio (YC W24),YC W24
Aniket,Gupta,https://www.linkedin.com/in/theaniketg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABY7UaIBgwiWK-cXnnlOk4YSzWupXeesQ2g,IIT Roorkee,YC W24
Chris,Weaver,https://www.linkedin.com/in/chris-weaver101?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACFJz2EB-Rxi0TVy3cjyn1Un-KN6gB0TJgU,Onyx (YC W24),YC W24
Di,Qi,https://www.linkedin.com/in/di-qi?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABehBCUB1VDaaswHxi7F_I6n420Gax9Y8MM,lantern (yc w24),YC W24
Tejas,Hosangadi,https://www.linkedin.com/in/tejashosangadi?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA7ZxnUBpAuBL_MLPxQGrqwQs4dmvnA0mcQ,Preloop (YC W24),YC W24
Ajay,Koritala,https://www.linkedin.com/in/ajaykoritala?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABlA32ABr2lz2CCx3JoY0hZecEUTP7zEfiE,OddsView,YC W24
Max,Hammer,https://www.linkedin.com/in/max-hammer-2360571b2?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADF8JYoBIXD_Rgz13qNj2m8RSSUtyeRzfB8,CrowdVolt (YC W24),YC W24
Wilbur,Li,https://www.linkedin.com/in/liwilbur?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB8mWnUB4K-4mafor7kCnW8mEGWfzdSgFF4,,YC W24
David,Lalor,https://www.linkedin.com/in/davidlalor5?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABwtVtwBW2_ql6wNYH1b6s7TN_GbzZpynDU,Swift (YC W24),YC W24
Aiden,Bai,https://www.linkedin.com/in/aidenbai?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADHcWWwBTc8XHUbTbQCOtGuOjJtLmffb8ho,Million (YC W24),YC W24
Ken,Hendricks,https://www.linkedin.com/in/ken-hendricks-96181611a?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB2qPtkBpBa6aJrTI-By1WV4cf_68fhmzOQ,Basepilot (YC W24),YC W24
Cole,R.,https://www.linkedin.com/in/colerubin?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB9RvXIBsJnY-uI8JgupS9YyELy6mu8RBjM,Conduit,YC W24
Danielle,J. Yoesep,https://www.linkedin.com/in/djyoesep?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACQSu0kB-YkP2DLM9aPo1zsRxnr0thC59WE,,YC W24
Aditya,Ganapathi,https://www.linkedin.com/in/aditya-ganapathi?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABiQKlABf72ayVWpsCNe9A3948p_mIltrNk,Cora,YC W24
Dimitris,Fotis Sakellariou,https://www.linkedin.com/in/sacellarius?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACqPDCQBsJdmpGvhS5_GC0KA5VBFw7ky_Ww,Piramidal (YC W24),YC W24
Richard,He,https://www.linkedin.com/in/yuchenghe?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABX7MfEBbvyYNMTZmBZyEWrrxklSZovoieI,Building,YC W24
Allen,Naliath,https://www.linkedin.com/in/allennaliath?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC50AtUBbXQ_c-nsIT5tpHAs2KXhAVsqxCI,Friday (YC F24),YC F24
Oliver,W.,https://www.linkedin.com/in/oliverbraly?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACUM3GoByNPLN73nxtGP1KB0xzpvwDSy4ic,fixa (YC F24),YC F24
Shardool,Patel,https://www.linkedin.com/in/sp97?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACb_pi4B0vb_SfU2n26vbs0YXazzWuc9Qfw,Ex-Palantir,YC F24
Stephen,Grinich,https://www.linkedin.com/in/stephengrinich?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABBm43UBNmNiY05LFiqjodGAMWijawh36H4,HealthSpark (YC F24),YC F24
Bella,Wu,https://www.linkedin.com/in/bellacwu?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAZXg2cBi_mGEcKhwlOxtqThM5X_PNqSLLA,Dexter (YC F24),YC F24
Alexandre,Berkovic,https://www.linkedin.com/in/alexandreberkovic?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACVuunkBwrx0wVHZf5OJhAdgVH85k4GiBmk,Sphinx (YC F24),YC F24
Nithin,Parsan,https://www.linkedin.com/in/nithin-parsan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACIjIw4B7jdSdpfhzpjAMfpXiyvNPoqo3Vc,MIT CS + Biology,YC F24
Elie,Dufeu Goldenberg,https://www.linkedin.com/in/elie-dufeu-goldenberg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACUh9sYB0d2nUTK7o-LqTmNn03LPYnJ45Ro,Metreecs (YC F24),YC F24
Thomas,Blake,https://www.linkedin.com/in/thomas-blake-abbba0151?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACSpRC8B2YVZEE6K81S5tC8BaE2OHiz3vQQ,Astrix Health,YC F24
Chris,Pisarski,https://www.linkedin.com/in/chris-pisarski?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAeoARABWDyz1EU75HBBvc_rK3ACMCPCkVc,Crustdata (YC F24),YC F24
John,Yang,https://www.linkedin.com/in/johnyang101?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACuB4yIBQMsyEGuAQoEzjoSZnPy34ZNwGVA,MIT Alum,YC F24
Simranjit,Singh,https://www.linkedin.com/in/simranjit2112?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABNSrUMBqA76h1Uhu7DDHepFpnnlpZru7p0,,YC F24
Tarush,Agarwal,https://www.linkedin.com/in/tarush-agarwal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACaRggABPulIDOP3cE9rzc36KLK3g1KZ8ok,IITB CS,YC F24
Akhil,Gupta,https://www.linkedin.com/in/akhil-climate?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACiYIxUBG86RaXsHwXyn0cgJ6ZyT3kYhhlk,Fresco (YC F24),YC F24
Rohan,"Parikh, CFA",https://www.linkedin.com/in/parikhrohan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAUmhC8BzHUqVODJJwh4Teqr3Jd7GywyQ6Y,Keye (YC F24),YC F24
Glenn,E.,https://www.linkedin.com/in/glennespinosa?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAATKCjgBOa8HqHuIZdPIlD04EVYvA2LKgq4,Luthor (YC F24),YC F24
Bowen,Liu,https://www.linkedin.com/in/bowen-liu?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACUm6AsBwI0ix7Bs1pSCd1Daxhx07LvXk5U,RevisionDojo (YC F24),YC F24
Kesav,Kosana,https://www.linkedin.com/in/kesavkosana?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACn6mmEBvdI7CqnNcr4ML2BK2RWE4fuJO5E,BookMyFlight (YC F24),YC F24
Murtaza,Ali,https://www.linkedin.com/in/-murtazaali?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAaRgdQBPnwhF7PCgiElWMQ87iKQcwYxV7U,Symphony (YC F24),YC F24
Tyler,Rich,https://www.linkedin.com/in/tylerrich?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABBRgPgBHezbffJ2uIGGCUxbEqtghtgRnvI,Moonset Health (YC F24),YC F24
Nalin,Semwal,https://www.linkedin.com/in/nsemwal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADzfX9MBY3fFJSaWOXHRU1xaTSmbWdhYGZ4,Capy,YC F24
Dexter,Horthy,https://www.linkedin.com/in/dexterihorthy?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA4oHTkByAiD-wZjnGsMBUL_JT6nyyhOh30,more reliable AI agents,YC F24
Anirudh,Ramprasad,https://www.linkedin.com/in/anirudh-ramprasad-7aa7b8215?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADZm2XIB-WFsO9UrDRZH-LNIlKArWQaCvIE,,YC F24
Anthony,H.,https://www.linkedin.com/in/ahumay?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAsEqssBrnDbVPU14bdazB2QjXz9uJPmoDg,Meta,YC F24
Manmohit,Grewal,https://www.linkedin.com/in/manmohitgrewal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACFZ9YkBI-6eHJOx8a-KRhQmEZIKPAZdsLg,Crustdata (YC F24),YC F24
